time,house,tenant,duration,mean,ci_low,ci_high
340.0,525 Clark Grove Apt. 928,Joseph,12.0,13.113333333333333,11.239999999999998,14.6
340.0,05641 Robin Port,Jeremy,10.0,13.113333333333333,11.239999999999998,14.6
350.0,76724 John Points Suite 969,John,18.0,15.683333333333334,14.5,16.919166666666666
350.0,3287 Katelyn Wall Apt. 226,Brenda,15.0,15.683333333333334,14.5,16.919166666666666
360.0,525 Clark Grove Apt. 928,Joseph,20.0,12.450000000000001,10.286000000000001,14.301999999999998
360.0,05641 Robin Port,Megan,18.0,12.450000000000001,10.286000000000001,14.301999999999998
360.0,76483 Cameron Trail,Robin,15.0,12.450000000000001,10.286000000000001,14.301999999999998
360.0,76724 John Points Suite 969,Jason,8.0,12.450000000000001,10.286000000000001,14.301999999999998
360.0,3287 Katelyn Wall Apt. 226,Jeremy,8.0,12.450000000000001,10.286000000000001,14.301999999999998
380.0,76724 John Points Suite 969,Stephen,19.0,14.033333333333335,12.6,15.466666666666665
380.0,05641 Robin Port,Whitney,18.0,14.033333333333335,12.6,15.466666666666665
380.0,3287 Katelyn Wall Apt. 226,Danielle,21.0,14.033333333333335,12.6,15.466666666666665
380.0,525 Clark Grove Apt. 928,Joseph,22.0,14.033333333333335,12.6,15.466666666666665
370.0,76483 Cameron Trail,Jeremy,7.0,12.233333333333333,9.4,15.066666666666666
380.0,76483 Cameron Trail,Robin,12.0,14.033333333333335,12.6,15.466666666666665
380.0,76724 John Points Suite 969,Jason,6.0,14.033333333333335,12.6,15.466666666666665
390.0,05641 Robin Port,Jeremy,7.0,12.433333333333334,9.1,15.333333333333332
400.0,76724 John Points Suite 969,John,18.0,14.6,13.0,16.554999999999993
410.0,3287 Katelyn Wall Apt. 226,Stephen,23.0,13.8,11.27375,15.988749999999987
400.0,76483 Cameron Trail,Brenda,16.0,14.6,13.0,16.554999999999993
400.0,525 Clark Grove Apt. 928,Joseph,10.0,14.6,13.0,16.554999999999993
390.0,05641 Robin Port,Whitney,6.0,12.433333333333334,9.1,15.333333333333332
410.0,05641 Robin Port,William,15.0,13.8,11.27375,15.988749999999987
400.0,525 Clark Grove Apt. 928,Joseph,7.0,14.6,13.0,16.554999999999993
420.0,76483 Cameron Trail,Jeremy,16.0,15.166666666666666,12.866666666666665,18.250833333333333
410.0,76724 John Points Suite 969,Whitney,9.0,13.8,11.27375,15.988749999999987
430.0,525 Clark Grove Apt. 928,Joseph,23.0,14.4,12.2,15.73333333333333
